surprisal	artpres	noun	verb	verbdeentr	denounentr	verbhetentr	hetnounentr	verbeenentr	eennounentr
13.669405491261395	NOART	freq1	kan	0.05814253	0.02766631	0.05207544	0.01141385	0.03634285	0.0100566
12.584220929112144	ART	freq1	blijft	0.04805736	0.02766631	0.02625862	0.01141385	0.03500258	0.0100566
10.794967524509806	NOART	Pierre	ging	0.07799989	0.01408964	0.1229477	0.004732572	0.02241873	0.00416981
6.159107588669315	NOART	freq1	reikt	0.02397747	0.01383316	0.009892005	0.005706926	0.008715721	0.005028301
6.772016010044539	NOART	freq1	ontkennen	0.07205895	0.01356026	0.007940075	0.004413358	0.006995897	0.003888552
7.1299606367930854	NOART	steun	vraagt	0.0418649	0.01007702	0.01157871	0.003520798	0.01503073	0.007603314
14.305335045923698	NOART	wapens	zijn	0.04359132	0.01021767	0.009165201	0.004215345	0.008552853	0.003714085
7.674912867946472	NOART	we	zijn	0.04359132	0.06076688	0.009165201	0.04567178	0.008552853	0.03456981
6.741574337004922	NOART	jaar	duurt	0.03412636	0.01520554	0.04612762	0.008506598	0.01638212	0.01448578
10.992488948950188	NOART	niets	houdt	0.05242241	0.005965226	0.07453238	0.00246098	0.01366444	0.002567402
10.341278322224646	NOART	konijn	haalt	0.02970544	0.01902059	0.01914732	0.007847025	0.0182656	0.006913915
10.188695303793837	NOART	zichzelf	haalt	0.02970544	0.01627091	0.01914732	0.009139742	0.0182656	0.01534695
12.26032686414237	NOART	voetbal	is	0.07368176	0.01065227	0.0629354	0.005542747	0.08628295	0.005020178
5.418838598437547	NOART	zaak	schikt	0.01345929	0.01210841	0.005552685	0.004995375	0.004892401	0.004401362
3.911586990273275	NOART	niets	snapt	0.02128178	0.005965226	0.02529502	0.00246098	0.007735846	0.002567402
9.411895954734488	NOART	freq1	vlucht	0.009673535	0.02766631	0.003990859	0.01141385	0.003516295	0.0100566
12.379958733427433	NOART	FBI	mag	0.03070542	0.01936642	0.01840437	0.007989695	0.01615374	0.007039624
2.249633607038431	NOART	geld	freq1	0.02766631	0.008484669	0.01141385	0.00321509	0.0100566	0.003854225
9.556908329800399	NOART	zichzelf	geeft	0.06526675	0.01627091	0.03657505	0.009139742	0.04163811	0.01534695
6.061718363987099	NOART	zich	moet	0.05157093	0.01518256	0.03686694	0.007348235	0.02746667	0.01889217
8.028625232343368	NOART	stemming	drukken	0.0538488	0.01780902	0.005603164	0.005706926	0.004936878	0.005028301
7.42093147095878	NOART	Raffarin	handhaaft	0.02901903	0.02441145	0.01547533	0.01007105	0.008380501	0.008873473
8.459156955648599	NOART	Holland	klaagt	0.04834237	0.01323171	0.007761421	0.005458798	0.00683849	0.004809678
7.450991406107768	NOART	marathon	wint	0.02459564	0.0105783	0.01992769	0.004364119	0.004401299	0.003845171
6.986645718925617	NOART	zichzelf	lanceert	0.06753174	0.01627091	0.009300174	0.009139742	0.008194271	0.01534695
4.213490352959734	NOART	vertrek	betreurt	0.04108488	0.01537017	0.02483242	0.00634103	0.0100566	0.01352621
6.85761548559251	NOART	Rotterdam	begrijpt	0.03293427	0.01024769	0.01863207	0.009472903	0.008849811	0.01737709
10.490276619092409	NOART	freq1	koopt	0.02261908	0.02766631	0.0116944	0.01141385	0.01078209	0.0100566
9.719615805023759	NOART	ramp	onderzoekt	0.06696163	0.01291095	0.03213727	0.007371196	0.00919651	0.004693081
10.719207644537153	NOART	minister	wordt	0.05810907	0.01493809	0.04107589	0.003196605	0.03338612	0.0116871
11.923589353717338	NOART	freq1	wint	0.02459564	0.02766631	0.01992769	0.01141385	0.004401299	0.0100566
16.10997875394898	NOART	freq1	is	0.07368176	0.02766631	0.0629354	0.01141385	0.08628295	0.0100566
2.2532875484642734	NOART	freq1	freq1	0.01537017	0.01276907	0.00634103	0.005267931	0.005587002	0.004641508
11.588715189577266	NOART	stemming	kan	0.05814253	0.01780902	0.05207544	0.005706926	0.03634285	0.005028301
11.92727000011111	NOART	freq1	wint	0.02459564	0.02766631	0.01992769	0.01141385	0.004401299	0.0100566
8.360705324716355	NOART	freq1	vervangt	0.05414994	0.02766631	0.01220953	0.01141385	0.008016135	0.0100566
9.182971486249837	NOART	freq1	voert	0.1353361	0.02766631	0.02591839	0.01141385	0.008601593	0.0100566
13.995100230564335	NOART	freq1	heeft	0.09671682	0.01284508	0.04973064	0.00529929	0.06107888	0.004669137
8.592250212905919	NOART	freq1	grijpt	0.05369155	0.02766631	0.005777383	0.01141385	0.005090379	0.0100566
11.148550382245269	NOART	kinderen	maakt	0.05126277	0.0159437	0.06120107	0.009339832	0.02749426	0.01291621
